CustomerID,sales,frequency,recency,flag,k_cluster
18102,233736.9300000001,57,1,high,0
17450,192521.94999999992,44,9,high,0
16446,168472.5,2,1,high,0
17511,87591.69999999997,29,3,high,0
12346,77183.6,1,326,high,3
16029,76753.31999999999,60,39,high,0
16684,66653.55999999997,28,5,high,0
14096,65164.790000000095,17,5,high,0
13694,64197.49999999999,49,4,high,0
15311,59416.19,88,1,high,0
17949,57196.48,44,2,high,0
15769,56160.92,25,8,high,0
13089,55595.21000000001,94,3,high,0
14298,51527.30000000001,44,9,high,0
14088,50491.81000000001,13,11,high,0
15749,44534.3,3,236,high,3
15061,43104.640000000014,41,4,high,0
12931,42055.959999999985,15,22,high,0
15098,39916.5,3,183,high,3
17841,39707.96,121,2,high,0
13798,36745.85000000001,56,2,high,0
16013,36068.599999999984,45,4,high,0
16422,33016.2,50,18,high,0
15838,32685.58,18,12,high,0
12748,31854.58,195,1,high,0
17389,31833.68,34,1,high,0
13098,28882.44000000001,28,2,high,0
14680,27073.230000000003,15,26,high,0
17857,26879.04,23,5,high,0
16333,26626.800000000007,22,8,high,0
13408,26558.359999999986,60,2,high,0
13081,25970.59999999999,9,12,high,0
17675,19757.160000000003,30,2,high,0
15039,19302.930000000008,46,10,high,0
13777,19137.0,24,1,high,0
15159,18641.010000000006,30,2,high,0
12901,17654.54,28,9,high,0
13881,17159.519999999997,20,4,high,0
17428,16903.85,27,1,high,0
17381,16671.89,26,9,high,0
14607,16569.5,14,16,high,0
15856,16387.57,27,5,high,0
16210,16347.76,16,2,high,0
15189,16225.390000000005,41,2,high,0
16839,16042.109999999995,33,9,high,0
12921,15899.29,35,10,high,0
13767,15583.4,34,3,high,0
14031,15572.61,18,8,high,0
14051,14986.97,22,1,high,0
17677,14746.630000000005,26,2,high,0
16133,14589.04,33,4,high,0
15513,14401.22,18,34,high,0
14866,14286.22,11,11,high,0
16705,14034.989999999998,20,1,high,0
14258,12669.98,9,10,high,0
17735,12655.42,18,3,high,0
16525,12616.01,25,3,high,0
16000,12393.7,3,3,high,0
15498,12339.68,25,3,high,0
15640,12181.940000000004,14,5,high,0
13078,12113.55,25,4,high,0
13113,11872.989999999998,23,1,high,0
12939,11581.8,8,65,high,0
14606,11549.769999999995,90,2,high,0
15125,11528.48,15,26,high,0
14194,11349.520000000002,21,5,high,0
14895,11138.71,20,8,high,0
15482,11054.96,12,16,high,0
12971,10921.719999999996,83,4,high,0
13319,10845.55,26,6,high,0
17107,10815.43,6,34,high,0
13340,10736.480000000003,7,46,high,0
14769,10674.749999999998,8,3,high,0
17139,10668.470000000003,12,16,high,0
17865,10526.320000000003,20,31,high,0
15251,10484.990000000002,11,10,high,0
14062,10464.850000000002,12,10,high,0
15615,10399.740000000002,23,11,high,0
16779,10272.81,21,3,high,0
17581,10258.26,23,1,high,0
16180,10254.18,8,101,high,0
16843,10196.569999999998,16,43,high,0
17706,10026.66,14,5,high,0
13001,9818.82,13,5,high,0
17340,9682.02,10,30,high,0
13458,9646.57,14,8,high,0
15502,9455.530000000002,9,16,high,0
16523,9418.47,21,2,high,0
13199,9348.44,37,4,high,0
15078,9267.96,30,8,high,0
14367,9261.52,16,9,high,0
18092,9068.26,11,3,high,0
13969,9053.94,18,8,high,0
13090,8750.22,13,9,high,0
14667,8729.64,24,11,high,0
16033,8660.760000000002,19,6,high,0
17306,8631.31,19,11,high,0
16656,8625.8,15,23,high,0
18139,8438.340000000002,6,18,high,0
17243,8419.949999999999,25,2,high,0
15358,8347.199999999999,22,5,high,0
14527,8215.869999999997,54,3,high,0
14056,8214.65,23,2,high,0
16672,8134.940000000001,20,3,high,0
13854,8109.52,25,9,high,0
14952,8099.49,11,60,high,0
15290,7943.2199999999975,18,5,high,0
17811,7837.730000000001,39,5,high,0
13629,7792.3600000000015,11,24,high,0
18109,7775.52,25,2,high,0
16558,7769.090000000001,19,1,high,0
14733,7755.89,11,17,high,0
15044,7700.230000000002,17,20,high,0
13488,7586.39,12,18,high,0
14849,7574.7,22,22,high,0
18172,7561.680000000001,20,15,high,0
13263,7454.069999999999,35,2,high,0
12980,7374.9000000000015,9,158,high,3
14796,7351.279999999999,16,2,high,0
17017,7305.1399999999985,17,3,high,0
13018,7277.699999999999,28,17,high,0
16923,7247.61,19,13,high,0
16729,7239.92,21,39,high,0
15194,7210.37,14,4,high,0
16745,7194.299999999997,17,87,high,0
16873,7123.620000000001,6,5,high,0
13324,7121.95,10,37,high,0
13985,7060.130000000003,15,5,high,0
14961,7044.68,9,11,high,0
13093,7033.07,7,276,high,3
17396,6933.3,7,40,high,0
12989,6924.109999999999,15,4,high,0
13027,6912.0,6,114,high,3
16187,6911.440000000001,15,32,high,0
17416,6893.42,7,30,high,0
15465,6818.870000000001,17,20,high,0
12830,6814.6399999999985,6,38,high,0
16652,6773.97,7,59,high,0
16532,6748.8,3,18,high,4
16746,6697.660000000002,18,5,high,0
15249,6688.46,13,32,high,0
17338,6643.930000000001,8,18,high,0
18229,6623.700000000002,18,12,high,0
16182,6617.65,4,73,high,3
15144,6580.440000000001,17,9,high,0
16713,6508.700000000002,14,19,high,0
18223,6484.54,14,5,high,0
16353,6471.710000000001,22,4,high,0
13225,6463.84,7,4,high,0
13102,6424.09,24,2,high,0
13871,6403.250000000001,13,23,high,0
13576,6368.190000000001,17,11,high,0
13668,6363.59,21,3,high,0
15023,6342.159999999999,10,4,high,0
13709,6328.05,13,4,high,0
17315,6292.26,38,2,high,0
16126,6287.77,4,30,high,3
16814,6235.809999999998,20,15,high,0
14057,6217.960000000001,17,24,high,0
15694,6173.0,13,1,high,0
17509,6115.140000000001,8,58,high,0
15939,6115.01,15,90,high,0
15005,6094.0700000000015,27,16,high,0
14735,6065.69,32,4,high,0
13097,6010.42,10,33,high,0
15601,6008.18,13,12,high,0
13316,5977.73,4,38,high,3
14101,5976.789999999999,6,74,high,3
15382,5955.709999999999,6,15,high,0
14505,5905.640000000001,8,18,high,0
14415,5900.28,13,2,high,0
14944,5900.25,12,30,high,0
13209,5891.61,8,31,high,0
13534,5870.080000000001,25,3,high,0
18055,5783.710000000001,8,8,high,0
15218,5756.89,11,11,high,0
17686,5739.46,7,8,high,0
13178,5725.469999999998,11,27,high,0
16553,5719.8200000000015,12,164,high,3
14110,5683.149999999999,12,4,high,0
14049,5681.719999999998,4,17,high,4
17049,5659.980000000001,9,3,high,0
17716,5655.99,11,23,high,0
13004,5655.91,18,12,high,0
16767,5580.6,11,31,high,0
15805,5528.479999999999,17,24,high,0
14060,5519.579999999999,17,5,high,0
18225,5509.12,12,4,high,0
13050,5508.85,16,15,high,0
13418,5504.190000000001,16,12,high,0
16609,5493.459999999999,7,16,high,0
